code,meigara,kana,kuramoto,ken,shi,address
1235,京極,きょうごく,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
1234,二世古,にせこ,二世古酒造,北海道,虻田郡,北海道虻田郡倶知安町旭47
1447,雪の花,ゆきのはな,雪の花酒造,北海道,小樽市,北海道小樽市
1446,小樽港,おたるこう,雪の花酒造,北海道,小樽市,北海道小樽市
2882,飲ん米,のんべぇい,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
2979,美苫,びせん,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
3193,カムイトノト,かむいとのと,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
1236,宝川,たからがわ,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
3198,十勝晴れ,とかちばれ,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
3194,亀甲蔵,きっこうぐら,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
2881,鬼丸,おにまる,田中酒造,北海道,小樽市,北海道小樽市色内3-2-5
1448,北宝,,山二わたなべ,北海道,小樽市,北海道小樽市
1710,小樽の女,おたるのひと,山二わたなべ,北海道,小樽市,北海道小樽市
1709,雪中花,せっちゅうか,山二わたなべ,北海道,小樽市,北海道小樽市
1449,熊古露里,くまころり,山二わたなべ,北海道,小樽市,北海道小樽市
3235,北世界,きたせかい,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
3815,すすきの美人,すすきのびじん,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
2904,十一州,じゅういっしゅう,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
5,千歳鶴,ちとせつる,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
2759,與次右衛門,よじうえもん,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
2758,柴田,しばた,日本清酒,北海道,札幌市中央区,北海道札幌市中央区南三条東5-2
1891,北斗随想,ほくとずいそう,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
3820,まる田,まるた,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
1892,冬花火,ふゆはなび,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
6,北の錦,きたのにしき,小林酒造,北海道,夕張郡,北海道夕張郡栗山町錦3-109
2804,気まぐれ,きまぐれ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
3196,北吹雪,きたふぶき,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
150,雪氷室 一夜雫,ゆきひむろ いちやしずく,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
3195,ゆきわらべ,ゆきわらべ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
3,国士無双,こくしむそう,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
2693,大雪,たいせつ,高砂酒造,北海道,旭川市,北海道旭川市宮下通17
2,金滴,きんてき,金滴酒造,北海道,樺戸郡,北海道樺戸郡新十津川町中央71-7
9,国稀,,国稀酒造,北海道,増毛郡,北海道増毛郡増毛町稲葉町1-17
3823,上川大雪,かみかわたいせつ,上川大雪酒造,北海道,上川郡,北海道上川郡上川町旭町25番地1http://kamikawa-taisetsu.co.jp/
8,大雪乃蔵,たいせつのくら,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
4,北の誉,きたのほまれ,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
3661,侍,さむらい,合同酒精 旭川工場,北海道,旭川市,北海道旭川工場〒078-8334 北海道
7,男山,おとこやま,男山,北海道,旭川市,北海道旭川市永山2条7丁目
1237,福司,ふくつかさ,福司酒造,北海道,釧路市,北海道釧路市住吉2-13-23
1452,北の勝,きたのかつ,碓氷勝三郎商店,北海道,根室市,北海道根室市常盤町1-6
1451,北見寒菊,きたみかんぎく,山田酒造,北海道,北見市,北海道北見市山下町2-1-5
1450,栄光摩周,えいこうましゅう,山田酒造,北海道,北見市,北海道北見市山下町2-1-5
3013,Future4,,Future4,青森県,,
22,南部蔵 富貴,なんぶぐら ふうき,合同酒精 八戸工場,青森県,八戸市,青森県八戸工場〒031-0072 青森県
1614,蔵物語,くらものがたり,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
21,八鶴,はちつる,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
3793,十魂,じゅっこん,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
3331,三戸のどんべり,さんのへのどんべり,八戸酒類 八鶴工場,青森県,八戸市,青森県八鶴工場〒031-0086 青森県
163,陸奥田心,むつでんしん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3747,がんじゃ自然酒倶楽部,がんじゃしぜんしゅくらぶ,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
24,陸奥八仙,むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3664,裏 陸奥八仙,うら むつはっせん,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
161,陸奥男山,むつおとこやま,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
164,陸奥山海,むつさんかい,八戸酒造,青森県,八戸市,青森県八戸市湊町本町9
3404,稲生,いなおい,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
158,八甲田おろし,はっこうだおろし,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3577,蒼川,そうせん,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3366,佐藤企,さとうたくみ,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
3756,武士道,ぶしどう,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
20,鳩正宗,はとまさむね,鳩正宗,青森県,十和田市,青森県十和田市大字三本木字稲吉176-2
1396,関乃井,せきのい,関乃井酒造,青森県,むつ市,青森県むつ市柳町1-5-15
1397,北勇,きたいさみ,関乃井酒造,青森県,むつ市,青森県むつ市柳町1-5-15
2328,津軽娘,つがるむすめ,中村亀吉,青森県,黒石市,青森県黒石市中町12
1664,玉垂,たまだれ,中村亀吉,青森県,黒石市,青森県黒石市中町12
1665,亀吉,かめきち,中村亀吉,青森県,黒石市,青森県黒石市中町12
